1, (143558.81,143559.64,(1, 0.0005781602675699932
1, (143559.64,143558.63,(2, -0.0007035403543846398
2, (143558.63,143556.83,(3, -0.001253843116235828
3, (143556.83,143552.57,(4, -0.0029674659157493304
4, (143552.57,143542.48,(5, -0.007028783950016714
5, (143542.48,143565.1,(1, 0.015758401276051062
6, (143565.1,143564.09,(2, -0.0007035135976705434
7, (143564.09,143562.29,(3, -0.0012537954303115484
8, (143562.29,143558.03,(4, -0.0029673530563000304
9, (143558.03,143566.3,(1, 0.005760736616397928
10, (143566.3,143565.29,(2, -0.0007035077173265658
11, (143565.29,143563.49,(3, -0.0012537849503995444
12, (143563.49,143559.23,(4, -0.0029673282531514173
13, (143559.23,143549.14,(5, -0.0070284578706618205
14, (143549.14,143521.55,(6, -0.019219899192726344
15, (143521.55,143586.62,(1, 0.045338139115698645
16, (143586.62,143585.61,(2, -0.0007034081587889688
17, (143585.61,143587.09,(1, 0.0010307439582632812
18, (143587.09,143587.92,(1, 0.0005780463968009228
